journal_title,publisher,issn
Reproductive Sciences,SAGE Publications,1933-7205
BioMetals,Springer Science and Business Media LLC,0966-0844
BioMetals,Springer Science and Business Media LLC,1572-8773
Psychology Research and Behavior Management,Dove Medical Press Ltd.,1179-1578
Andrologia,Wiley,0303-4569
Andrologia,Wiley,1439-0272
Methods,Elsevier BV,1046-2023
Methods,Elsevier BV,1095-9130
"Homology, Homotopy and Applications",International Press of Boston,1532-0073
"Homology, Homotopy and Applications",International Press of Boston,1532-0081
Synlett,Georg Thieme Verlag KG,0936-5214
Synlett,Georg Thieme Verlag KG,1437-2096
Operations Research,Institute for Operations Research and the Management Sciences (INFORMS),0030-364X
Operations Research,Institute for Operations Research and the Management Sciences (INFORMS),1526-5463
Journal of Healthcare Engineering,Hindawi Limited,2040-2295
Journal of Healthcare Engineering,Hindawi Limited,2040-2309
Interfaces,Institute for Operations Research and the Management Sciences (INFORMS),0092-2102
Interfaces,Institute for Operations Research and the Management Sciences (INFORMS),1526-551X
Sensors,MDPI AG,1424-8220
Seminars in Neurology,Georg Thieme Verlag KG,0271-8235
Seminars in Neurology,Georg Thieme Verlag KG,1098-9021
Periodicum Biologorum,Hrvatski Prirodoslovno Drustvo (Croatian Society for Natural Sciences),0031-5362
Periodicum Biologorum,Hrvatski Prirodoslovno Drustvo (Croatian Society for Natural Sciences),1849-0964
"American Journal of Physiology-Regulatory, Integrative and Comparative Physiology",American Physiological Society,0363-6119
"American Journal of Physiology-Regulatory, Integrative and Comparative Physiology",American Physiological Society,1522-1490
Skeletal Radiology,Springer Science and Business Media LLC,0364-2348
Skeletal Radiology,Springer Science and Business Media LLC,1432-2161
Journal of the American Mathematical Society,American Mathematical Society (AMS),0894-0347
Journal of the American Mathematical Society,American Mathematical Society (AMS),1088-6834
Thoracic Cancer,Wiley,1759-7706
Thoracic Cancer,Wiley,1759-7714
Annals of Surgical Treatment and Research,The Korean Surgical Society (KAMJE),2288-6575
Annals of Surgical Treatment and Research,The Korean Surgical Society (KAMJE),2288-6796
Journal of Orthopaedic Surgery,SAGE Publications,1022-5536
Journal of Orthopaedic Surgery,SAGE Publications,2309-4990
Journal of Lightwave Technology,Institute of Electrical and Electronics Engineers (IEEE),0733-8724
Journal of Lightwave Technology,Institute of Electrical and Electronics Engineers (IEEE),1558-2213
Clinical Implant Dentistry and Related Research,Wiley,1523-0899
Clinical Implant Dentistry and Related Research,Wiley,1708-8208
The Pediatric Infectious Disease Journal,Ovid Technologies (Wolters Kluwer Health),0891-3668
The Pediatric Infectious Disease Journal,Ovid Technologies (Wolters Kluwer Health),1532-0987
International Journal of Eating Disorders,Wiley,0276-3478
International Journal of Eating Disorders,Wiley,1098-108X
The American Journal of Emergency Medicine,Elsevier BV,0735-6757
The American Journal of Emergency Medicine,Elsevier BV,1532-8171
IEEE Journal of Solid-State Circuits,Institute of Electrical and Electronics Engineers (IEEE),0018-9200
IEEE Journal of Solid-State Circuits,Institute of Electrical and Electronics Engineers (IEEE),1558-173X
Chronic Respiratory Disease,SAGE Publications,1479-9723
Chronic Respiratory Disease,SAGE Publications,1479-9731
"Endocrinología, Diabetes y Nutrición (English ed.)",Elsevier BV,2530-0180
Nano Energy,Elsevier BV,2211-2855
Nano Energy,Elsevier BV,2211-3282
RSC Advances,Royal Society of Chemistry (RSC),2046-2069
BioEnergy Research,Springer Science and Business Media LLC,1939-1234
BioEnergy Research,Springer Science and Business Media LLC,1939-1242
Pharmacoepidemiology and Drug Safety,Wiley,1053-8569
Pharmacoepidemiology and Drug Safety,Wiley,1099-1557
Journal of Anesthesia,Springer Science and Business Media LLC,0913-8668
Journal of Anesthesia,Springer Science and Business Media LLC,1438-8359
International Journal of Health Geographics,Springer Nature,1476-072X
The Journal of the Economics of Ageing,Elsevier BV,2212-828X
The Journal of the Economics of Ageing,Elsevier BV,2212-8298
Frontiers of Environmental Science & Engineering,Springer Science and Business Media LLC,2095-2201
Frontiers of Environmental Science & Engineering,Springer Science and Business Media LLC,2095-221X
Biologia,Walter de Gruyter GmbH,0006-3088
Biologia,Walter de Gruyter GmbH,1336-9563
Photonics Research,The Optical Society,2327-9125
Journal of Medical Internet Research,JMIR Publications Inc.,1438-8871
Journal of Medical Internet Research,JMIR Publications Inc.,1439-4456
Journal of Neuroscience Research,Wiley,0360-4012
Journal of Neuroscience Research,Wiley,1097-4547
Acta Obstetricia et Gynecologica Scandinavica,Wiley,0001-6349
Acta Obstetricia et Gynecologica Scandinavica,Wiley,1600-0412
International Journal of Agriculture and Biology,Friends Science Publishers,1560-8530
International Journal of Agriculture and Biology,Friends Science Publishers,1814-9596
International Journal of Production Research,Informa UK Limited,0020-7543
International Journal of Production Research,Informa UK Limited,1366-588X
Thin-Walled Structures,Elsevier BV,0263-8231
Thin-Walled Structures,Elsevier BV,1879-3223
IEEE Transactions on Industry Applications,Institute of Electrical and Electronics Engineers (IEEE),0093-9994
IEEE Transactions on Industry Applications,Institute of Electrical and Electronics Engineers (IEEE),1939-9367
Foundations of Computational Mathematics,Springer Science and Business Media LLC,1615-3375
Foundations of Computational Mathematics,Springer Science and Business Media LLC,1615-3383
Cancer Management and Research,Dove Medical Press Ltd.,1179-1322
Canadian Journal of Surgery,Joule Inc.,0008-428X
Canadian Journal of Surgery,Joule Inc.,1488-2310
Molecular Membrane Biology,Informa UK Limited,0968-7688
Molecular Membrane Biology,Informa UK Limited,1464-5203
International Journal of Coal Geology,Elsevier BV,0166-5162
International Journal of Coal Geology,Elsevier BV,1872-7840
Climacteric,Informa UK Limited,1369-7137
Climacteric,Informa UK Limited,1473-0804
The Horticulture Journal,Japanese Society for Horticultural Science,2189-0102
The Horticulture Journal,Japanese Society for Horticultural Science,2189-0110
Thin Solid Films,Elsevier BV,0040-6090
Thin Solid Films,Elsevier BV,1879-2731
International Journal of Neuropsychopharmacology,Oxford University Press (OUP),1461-1457
International Journal of Neuropsychopharmacology,Oxford University Press (OUP),1469-5111
BMC Bioinformatics,Springer Nature,1471-2105
Cephalalgia,SAGE Publications,0333-1024
Cephalalgia,SAGE Publications,1468-2982
Main Group Metal Chemistry,Walter de Gruyter GmbH,0792-1241
Main Group Metal Chemistry,Walter de Gruyter GmbH,2191-0219
Applied Stochastic Models in Business and Industry,Wiley,1524-1904
Applied Stochastic Models in Business and Industry,Wiley,1526-4025
Plant Breeding,Wiley,0179-9541
Plant Breeding,Wiley,1439-0523
Historical Records of Australian Science,CSIRO Publishing,0727-3061
Historical Records of Australian Science,CSIRO Publishing,1448-5508
Petroleum Science and Technology,Informa UK Limited,1091-6466
Petroleum Science and Technology,Informa UK Limited,1532-2459
Diseases of the Esophagus,Oxford University Press (OUP),1120-8694
Diseases of the Esophagus,Oxford University Press (OUP),1442-2050
Journal of Camel Practice and Research,Diva Enterprises Private Limited,0971-6777
Journal of Camel Practice and Research,Diva Enterprises Private Limited,2277-8934
British Journal of Nutrition,Cambridge University Press (CUP),0007-1145
British Journal of Nutrition,Cambridge University Press (CUP),1475-2662
Pediatric Blood & Cancer,Wiley,1545-5009
Pediatric Blood & Cancer,Wiley,1545-5017
Sensors and Actuators B: Chemical,Elsevier BV,0925-4005
Sensors and Actuators B: Chemical,Elsevier BV,1873-3077
Pharmacopsychiatry,Georg Thieme Verlag KG,0176-3679
Pharmacopsychiatry,Georg Thieme Verlag KG,1439-0795
International Journal of Food Microbiology,Elsevier BV,0168-1605
International Journal of Food Microbiology,Elsevier BV,1879-3460
FEBS Letters,Wiley,0014-5793
FEBS Letters,Wiley,1873-3468
Computers in Biology and Medicine,Elsevier BV,0010-4825
Computers in Biology and Medicine,Elsevier BV,1879-0534
The American Journal of Dermatopathology,Ovid Technologies (Wolters Kluwer Health),0193-1091
The American Journal of Dermatopathology,Ovid Technologies (Wolters Kluwer Health),1533-0311
World Journal of Gastroenterology,Baishideng Publishing Group Inc.,1007-9327
World Journal of Gastroenterology,Baishideng Publishing Group Inc.,2219-2840
Malaria Journal,Springer Nature,1475-2875
Journal of Solid State Electrochemistry,Springer Science and Business Media LLC,1432-8488
Journal of Solid State Electrochemistry,Springer Science and Business Media LLC,1433-0768
Journal of Cancer,Ivyspring International Publisher,1837-9664
Molecular Medicine Reports,Spandidos Publications,1791-2997
Molecular Medicine Reports,Spandidos Publications,1791-3004
Human Gene Therapy,Mary Ann Liebert Inc,1043-0342
Human Gene Therapy,Mary Ann Liebert Inc,1557-7422
Neurología,Elsevier BV,0213-4853
Neurología,Elsevier BV,1578-1968
Neurología,Elsevier BV,1697-1264
Computational Economics,Springer Science and Business Media LLC,0927-7099
Computational Economics,Springer Science and Business Media LLC,1572-9974
The Journal of Organic Chemistry,American Chemical Society (ACS),0022-3263
The Journal of Organic Chemistry,American Chemical Society (ACS),1520-6904
Medical and Veterinary Entomology,Wiley,0269-283X
Medical and Veterinary Entomology,Wiley,1365-2915
Surgical Endoscopy,Springer Science and Business Media LLC,0930-2794
Surgical Endoscopy,Springer Science and Business Media LLC,1432-2218
Surgical Endoscopy,Springer Science and Business Media LLC,1866-6817
Journal of Oral and Maxillofacial Surgery,Elsevier BV,0278-2391
Journal of Oral and Maxillofacial Surgery,Elsevier BV,1531-5053
Smart Structures and Systems,Techno-Press,1738-1584
Smart Structures and Systems,Techno-Press,1738-1991
Nursing Research,Ovid Technologies (Wolters Kluwer Health),0029-6562
Nursing Research,Ovid Technologies (Wolters Kluwer Health),1538-9847
OncoTargets and Therapy,Dove Medical Press Ltd.,1178-6930
Biomaterials,Elsevier BV,0142-9612
Biomaterials,Elsevier BV,1878-5905
Korean Journal of Radiology,The Korean Society of Radiology (KAMJE),1229-6929
Korean Journal of Radiology,The Korean Society of Radiology (KAMJE),2005-8330
Chemical & Engineering News Archive,American Chemical Society (ACS),0009-2347
Chemical & Engineering News Archive,American Chemical Society (ACS),1520-605X
Acta Psychologica,Elsevier BV,0001-6918
Acta Psychologica,Elsevier BV,1873-6297
British Journal of Social Work,Oxford University Press (OUP),0045-3102
British Journal of Social Work,Oxford University Press (OUP),1468-263X
Journal of Biomaterials and Tissue Engineering,American Scientific Publishers,2157-9083
Journal of Biomaterials and Tissue Engineering,American Scientific Publishers,2157-9091
Experimental Biology and Medicine,SAGE Publications,1535-3699
Experimental Biology and Medicine,SAGE Publications,1535-3702
Otology & Neurotology,Ovid Technologies (Wolters Kluwer Health),1531-7129
Otology & Neurotology,Ovid Technologies (Wolters Kluwer Health),1537-4505
International Communications in Heat and Mass Transfer,Elsevier BV,0735-1933
International Communications in Heat and Mass Transfer,Elsevier BV,1879-0178
Journal of Prosthodontics,Wiley,1059-941X
Journal of Prosthodontics,Wiley,1532-849X
Chemical Papers,Springer Nature,0366-6352
Chemical Papers,Springer Nature,1336-9075
Chemical Papers,Springer Nature,2585-7290
Advances in Materials Science and Engineering,Hindawi Limited,1687-8434
Advances in Materials Science and Engineering,Hindawi Limited,1687-8442
Emerging Microbes & Infections,Informa UK Limited,2222-1751
World Journal of Surgery,Springer Science and Business Media LLC,0364-2313
World Journal of Surgery,Springer Science and Business Media LLC,1432-2323
Genome Biology and Evolution,Oxford University Press (OUP),1759-6653
Cancer Science,Wiley,1347-9032
Cancer Science,Wiley,1349-7006
Journal of Nonlinear Optical Physics & Materials,World Scientific Pub Co Pte Lt,0218-8635
Journal of Nonlinear Optical Physics & Materials,World Scientific Pub Co Pte Lt,1793-6624
Advanced Materials,Wiley,0935-9648
Advanced Materials,Wiley,1521-4095
KOBUNSHI RONBUNSHU,"Society of Polymer Science, Japan",0386-2186
KOBUNSHI RONBUNSHU,"Society of Polymer Science, Japan",1881-5685
Journal of Molecular Recognition,Wiley,0952-3499
Journal of Molecular Recognition,Wiley,1099-1352
NeuroImage,Elsevier BV,1053-8119
NeuroImage,Elsevier BV,1095-9572
Journal of Korean Medical Science,Korean Academy of Medical Sciences (KAMJE),1011-8934
Journal of Korean Medical Science,Korean Academy of Medical Sciences (KAMJE),1598-6357
Atomization and Sprays,Begell House,1044-5110
Atomization and Sprays,Begell House,1936-2684
Annals of Nuclear Energy,Elsevier BV,0306-4549
Annals of Nuclear Energy,Elsevier BV,1873-2100
Radiochimica Acta,Walter de Gruyter GmbH,0033-8230
Radiochimica Acta,Walter de Gruyter GmbH,2193-3405
Journal of Mechanical Science and Technology,Springer Science and Business Media LLC,1738-494X
Journal of Mechanical Science and Technology,Springer Science and Business Media LLC,1976-3824
Trials,Springer Nature,1745-6215
Chinese Medical Journal,Ovid Technologies (Wolters Kluwer Health),0366-6999
Chinese Medical Journal,Ovid Technologies (Wolters Kluwer Health),2542-5641
Aquaculture Research,Wiley,1355-557X
Aquaculture Research,Wiley,1365-2109
Infection and Immunity,American Society for Microbiology,0019-9567
Infection and Immunity,American Society for Microbiology,1070-6313
Infection and Immunity,American Society for Microbiology,1098-5522
Desalination and Water Treatment,Informa UK Limited,1944-3986
Desalination and Water Treatment,Informa UK Limited,1944-3994
Crystal Growth & Design,American Chemical Society (ACS),1528-7483
Crystal Growth & Design,American Chemical Society (ACS),1528-7505
International Wound Journal,Wiley,1742-4801
International Wound Journal,Wiley,1742-481X
Journal of Nuclear Materials,Elsevier BV,0022-3115
Journal of Nuclear Materials,Elsevier BV,1873-4820
The Analyst,Royal Society of Chemistry (RSC),0003-2654
The Analyst,Royal Society of Chemistry (RSC),1364-5528
European Archives of Oto-Rhino-Laryngology,Springer Science and Business Media LLC,0937-4477
European Archives of Oto-Rhino-Laryngology,Springer Science and Business Media LLC,1434-4726
Journal of Molecular Catalysis B: Enzymatic,Elsevier BV,1381-1177
Journal of Molecular Catalysis B: Enzymatic,Elsevier BV,1873-3158
The Journal of Physical Chemistry A,American Chemical Society (ACS),1089-5639
The Journal of Physical Chemistry A,American Chemical Society (ACS),1520-5215
Nonlinear Dynamics,Springer Science and Business Media LLC,0924-090X
Nonlinear Dynamics,Springer Science and Business Media LLC,1573-269X
Evaluation and Program Planning,Elsevier BV,0149-7189
Evaluation and Program Planning,Elsevier BV,1873-7870
Cereal Chemistry Journal,Wiley,0009-0352
Cereal Chemistry Journal,Wiley,1943-3638
Journal of Adolescent & Adult Literacy,Wiley,1081-3004
Journal of Adolescent & Adult Literacy,Wiley,1936-2706
Clinical and Vaccine Immunology,American Society for Microbiology,1556-679X
Clinical and Vaccine Immunology,American Society for Microbiology,1556-6811
Journal of Neurochemistry,Wiley,0022-3042
Journal of Neurochemistry,Wiley,1471-4159
Multimedia Tools and Applications,Springer Science and Business Media LLC,1380-7501
Multimedia Tools and Applications,Springer Science and Business Media LLC,1573-7721
Journal of Hydrology,Elsevier BV,0022-1694
Journal of Hydrology,Elsevier BV,1879-2707
Environmental Biology of Fishes,Springer Science and Business Media LLC,0378-1909
Environmental Biology of Fishes,Springer Science and Business Media LLC,1573-5133
Tunnelling and Underground Space Technology,Elsevier BV,0886-7798
Tunnelling and Underground Space Technology,Elsevier BV,1878-4364
BMC Infectious Diseases,Springer Nature,1471-2334
Neotropical Ichthyology,FapUNIFESP (SciELO),1679-6225
Neotropical Ichthyology,FapUNIFESP (SciELO),1982-0224
Organic Letters,American Chemical Society (ACS),1523-7052
Organic Letters,American Chemical Society (ACS),1523-7060
Arabian Journal for Science and Engineering,Springer Science and Business Media LLC,2191-4281
Arabian Journal for Science and Engineering,Springer Science and Business Media LLC,2193-567X
Inorganic Chemistry,American Chemical Society (ACS),0020-1669
Inorganic Chemistry,American Chemical Society (ACS),1520-510X
Developmental Cognitive Neuroscience,Elsevier BV,1878-9293
Developmental Cognitive Neuroscience,Elsevier BV,1878-9307
Postharvest Biology and Technology,Elsevier BV,0925-5214
Postharvest Biology and Technology,Elsevier BV,1873-2356
International Journal of Environmental Science and Technology,Springer Science and Business Media LLC,1735-1472
International Journal of Environmental Science and Technology,Springer Science and Business Media LLC,1735-2630
The Scientific World Journal,Hindawi Limited,1537-744X
The Scientific World Journal,Hindawi Limited,2356-6140
Measurement and Evaluation in Counseling and Development,Informa UK Limited,0748-1756
Measurement and Evaluation in Counseling and Development,Informa UK Limited,1947-6302
European Journal of Control,Elsevier BV,0947-3580
European Journal of Control,Elsevier BV,1435-5671
Lupus,SAGE Publications,0961-2033
Lupus,SAGE Publications,1477-0962
Avian Biology Research,SAGE Publications,1758-1559
Avian Biology Research,SAGE Publications,1758-1567
Environmental Management,Springer Science and Business Media LLC,0364-152X
Environmental Management,Springer Science and Business Media LLC,1432-1009
Applied Physics A,Springer Science and Business Media LLC,0947-8396
Applied Physics A,Springer Science and Business Media LLC,1432-0630
Topology and its Applications,Elsevier BV,0166-8641
Topology and its Applications,Elsevier BV,1879-3207
ChemMedChem,Wiley,1860-7179
ChemMedChem,Wiley,1860-7187
"Drug Design, Development and Therapy",Dove Medical Press Ltd.,1177-8881
Polymer International,Wiley,0959-8103
Polymer International,Wiley,1097-0126
PS: Political Science & Politics,Cambridge University Press (CUP),1049-0965
PS: Political Science & Politics,Cambridge University Press (CUP),1537-5935
Journal of Coastal Research,Coastal Education and Research Foundation,0749-0208
Journal of Coastal Research,Coastal Education and Research Foundation,1551-5036
Clinical Genetics,Wiley,0009-9163
Clinical Genetics,Wiley,1399-0004
The Journal of Vascular Access,SAGE Publications,1129-7298
The Journal of Vascular Access,SAGE Publications,1724-6032
Progress in Biophysics and Molecular Biology,Elsevier BV,0079-6107
Progress in Biophysics and Molecular Biology,Elsevier BV,1873-1732
Wilderness & Environmental Medicine,Elsevier BV,1080-6032
Wilderness & Environmental Medicine,Elsevier BV,1545-1534
The International Journal of Robotics Research,SAGE Publications,0278-3649
The International Journal of Robotics Research,SAGE Publications,1741-3176
Energy and Buildings,Elsevier BV,0378-7788
Energy and Buildings,Elsevier BV,1872-6178
Journal of Pragmatics,Elsevier BV,0378-2166
Journal of Pragmatics,Elsevier BV,1879-1387
"Perspectives in Plant Ecology, Evolution and Systematics",Elsevier BV,1433-8319
"Perspectives in Plant Ecology, Evolution and Systematics",Elsevier BV,1618-0437
Genetics Selection Evolution,Springer Nature,0999-193X
Genetics Selection Evolution,Springer Nature,1297-9686
Toxicon,Elsevier BV,0041-0101
Toxicon,Elsevier BV,1879-3150
The Ramanujan Journal,Springer Science and Business Media LLC,1382-4090
The Ramanujan Journal,Springer Science and Business Media LLC,1572-9303
Nature Chemical Biology,Springer Nature,1552-4450
Nature Chemical Biology,Springer Nature,1552-4469
Journal of Viral Hepatitis,Wiley,1352-0504
Journal of Viral Hepatitis,Wiley,1365-2893
Frontiers in Behavioral Neuroscience,Frontiers Media SA,1662-5153
Journal of Infectious Diseases,Oxford University Press (OUP),0022-1899
Journal of Infectious Diseases,Oxford University Press (OUP),1537-6613
Biochemical Journal,Portland Press Ltd.,0264-6021
Biochemical Journal,Portland Press Ltd.,1470-8728
Applied Physics Letters,AIP Publishing,0003-6951
Applied Physics Letters,AIP Publishing,1077-3118
Applied Physics Letters,AIP Publishing,1520-8842
Wear,Elsevier BV,0043-1648
Wear,Elsevier BV,1873-2577
Journal of Integrative Agriculture,Elsevier BV,2095-3119
Journal of Integrative Agriculture,Elsevier BV,2352-3425
Atmospheric Pollution Research,Elsevier BV,1309-1042
ACS Catalysis,American Chemical Society (ACS),2155-5435
Journal of Business Research,Elsevier BV,0148-2963
Journal of Business Research,Elsevier BV,1873-7978
Andean Geology,Pontificia Universidad Catolica de Valparaiso,0718-7092
Andean Geology,Pontificia Universidad Catolica de Valparaiso,0718-7106
Progress in Physical Geography: Earth and Environment,SAGE Publications,0309-1333
Progress in Physical Geography: Earth and Environment,SAGE Publications,1477-0296
Gesunde Pflanzen,Springer Science and Business Media LLC,0367-4223
Gesunde Pflanzen,Springer Science and Business Media LLC,1439-0345
Journal of Nanoscience and Nanotechnology,American Scientific Publishers,1533-4880
Journal of Nanoscience and Nanotechnology,American Scientific Publishers,1533-4899
Memory Studies,SAGE Publications,1750-6980
Memory Studies,SAGE Publications,1750-6999
Separation Science and Technology,Informa UK Limited,0149-6395
Separation Science and Technology,Informa UK Limited,1520-5754
Therapeutic Apheresis and Dialysis,Wiley,1744-9979
Therapeutic Apheresis and Dialysis,Wiley,1744-9987
Endocrine Journal,Japan Endocrine Society,0918-8959
Endocrine Journal,Japan Endocrine Society,1348-4540
Molecules,MDPI AG,1420-3049
SHOCK,Ovid Technologies (Wolters Kluwer Health),1073-2322
SHOCK,Ovid Technologies (Wolters Kluwer Health),1540-0514
Materials Science and Engineering: C,Elsevier BV,0928-4931
Materials Science and Engineering: C,Elsevier BV,1873-0191
Indian Journal of Medical Research,Medknow,0971-5916
Advanced Engineering Materials,Wiley,1438-1656
Advanced Engineering Materials,Wiley,1527-2648
Journal of Cardiology,Elsevier BV,0914-5087
Journal of Cardiology,Elsevier BV,1876-4738
Nuclear Engineering and Design,Elsevier BV,0029-5493
Nuclear Engineering and Design,Elsevier BV,1872-759X
Neuro-Oncology,Oxford University Press (OUP),1522-8517
Neuro-Oncology,Oxford University Press (OUP),1523-5866
Journal of Tropical Ecology,Cambridge University Press (CUP),0266-4674
Journal of Tropical Ecology,Cambridge University Press (CUP),1469-7831
Monthly Notices of the Royal Astronomical Society,Oxford University Press (OUP),0035-8711
Monthly Notices of the Royal Astronomical Society,Oxford University Press (OUP),1365-2966
"Infinite Dimensional Analysis, Quantum Probability and Related Topics",World Scientific Pub Co Pte Lt,0219-0257
"Infinite Dimensional Analysis, Quantum Probability and Related Topics",World Scientific Pub Co Pte Lt,1793-6306
Journal of Materials Science: Materials in Electronics,Springer Science and Business Media LLC,0957-4522
Journal of Materials Science: Materials in Electronics,Springer Science and Business Media LLC,1573-482X
Plasma Science and Technology,IOP Publishing,1009-0630
Plasma Science and Technology,IOP Publishing,2058-6272
Neuroscience Research,Elsevier BV,0168-0102
Neuroscience Research,Elsevier BV,1872-8111
Clinical Journal of Oncology Nursing,Oncology Nursing Society (ONS),1092-1095
Clinical Journal of Oncology Nursing,Oncology Nursing Society (ONS),1538-067X
Journal of Thoracic Oncology,Elsevier BV,1556-0864
Journal of Thoracic Oncology,Elsevier BV,1556-1380
Frontiers in Immunology,Frontiers Media SA,1664-3224
Journal of Vascular Surgery,Elsevier BV,0741-5214
Journal of Vascular Surgery,Elsevier BV,1085-875X
Journal of Vascular Surgery,Elsevier BV,1097-6809
Gene,Elsevier BV,0378-1119
Gene,Elsevier BV,1879-0038
IEEE Transactions on Pattern Analysis and Machine Intelligence,Institute of Electrical and Electronics Engineers (IEEE),0162-8828
IEEE Transactions on Pattern Analysis and Machine Intelligence,Institute of Electrical and Electronics Engineers (IEEE),1939-3539
IEEE Transactions on Pattern Analysis and Machine Intelligence,Institute of Electrical and Electronics Engineers (IEEE),2160-9292
Leukemia Research,Elsevier BV,0145-2126
Leukemia Research,Elsevier BV,1873-5835
Studi Francesi,OpenEdition,0039-2944
Studi Francesi,OpenEdition,2421-5856
Biomarkers in Medicine,Future Medicine Ltd,1752-0363
Biomarkers in Medicine,Future Medicine Ltd,1752-0371
Ceramics International,Elsevier BV,0272-8842
Ceramics International,Elsevier BV,1873-3956
Research on Chemical Intermediates,Springer Science and Business Media LLC,0922-6168
Research on Chemical Intermediates,Springer Science and Business Media LLC,1568-5675
IEEE Wireless Communications Letters,Institute of Electrical and Electronics Engineers (IEEE),2162-2337
IEEE Wireless Communications Letters,Institute of Electrical and Electronics Engineers (IEEE),2162-2345
PLOS Neglected Tropical Diseases,Public Library of Science (PLoS),1935-2727
PLOS Neglected Tropical Diseases,Public Library of Science (PLoS),1935-2735
Developmental Psychobiology,Wiley,0012-1630
Developmental Psychobiology,Wiley,1098-2302
Clinical Interventions in Aging,Dove Medical Press Ltd.,1176-9092
Clinical Interventions in Aging,Dove Medical Press Ltd.,1178-1998
